Program,Ver,Arguments,St.,C,D,Size ,%,C.Time ,%,D.Time ,%,Time,Rating,c/d ,R.S.E.,c/d ,R.R.E.,c/d ,Output ,C.M,D.M
etincelle,rc2,,½**,3,2,1 199 623 503,36.4,47.11,99,26.23,100,1m 13s,63,91/14,562,570/547,0,0/0,1 199 582 865,133,133
etincelle,rc2,-m256,½**,3,2,1 199 273 442,36.3,47.27,99,26.37,99,1m 14s,63,91/14,560,569/545,0,0/0,1 199 232 804,261,261
zhuff,0.5,,*,4,4,1 376 961 694,41.7,24.11,100,16.95,99,41s,16,25/3,556,617/469,0,0/0,1 376 922 141,4,3
etincelle,rc1,,**,4,2,1 201 838 097,36.4,47.89,99,26.03,100,1m 14s,61,87/14,553,557/547,0,0/0,1 201 797 483,133,133
zhuff,0.4,,½,5,4,1 376 986 912,41.7,24.75,99,16.81,100,42s,16,24/3,549,601/472,0,0/0,1 376 947 432,4,4
etincelle,rc1,-m256,**,4,2,1 201 675 151,36.4,48.34,99,26.15,100,1m 14s,61,87/14,549,552/545,0,0/0,1 201 634 537,261,261
freearc,0.6,-mex1,**,1,10,1 182 572 760,35.8,34.28,242,48.01,161,1m 22s,68,151/9,530,830/316,0,1/0,1 182 499 032,56,52
nanozip,0.09a,-m.5g -cDp,****,1,1,843 802 174,25.6,223.11,266,33.81,190,4m 17s,946,1004/560,525,394/1390,136,144/81,843 679 294,529,311
lzturbo,0.95,-43,**,6,1,1 115 832 857,33.8,86.37,333,17.51,314,1m 44s,114,126/53,525,411/1083,1,1/0,1 115 732 664,443,351
nanozip,0.09a,-m.5g -cDP,½****,1,0,830 163 327,25.2,236.17,286,33.68,191,4m 30s,1048,1104/654,523,390/1460,175,185/109,830 040 447,532,311
qpress,1.1,L3,***,4,0,1 493 735 563,45.3,23.9,395,5.76,274,30s,6,7/2,521,422/934,0,0/0,1 493 652 324,5,3
qpress,0.39,L3,½**,4,1,1 493 735 474,45.3,23.92,395,5.83,271,30s,6,7/2,520,421/923,0,0/0,1 493 652 324,5,3
freearc,0.666,-m1,½*,2,12,1 182 572 823,35.8,34.97,235,50.05,173,1m 25s,66,148/9,513,813/303,0,0/0,1 182 497 047,50,61
nanozip,0.07a,-m.5g -cd,**,1,8,934 092 531,28.3,125.83,99,71.67,100,3m 17s,451,653/97,506,517/485,24,34/5,933 975 236,556,520
etincelle,rc2,-m512,½**,3,2,1 199 273 432,36.3,54.97,87,27.12,99,1m 22s,57,78/13,503,489/529,0,0/0,1 199 232 794,518,518
lz4,1,-c0t1,**,5,1,1 670 093 423,50.6,11.7,138,5.78,162,17s,1,2/0,491,478/517,0,0/0,1 670 050 762,18,17
qpress,0.34,L3,**,6,1,1 493 712 959,45.3,25.75,395,5.86,266,32s,6,6/2,489,391/918,0,0/0,1 493 652 324,3,2
nanozip,0.08a,-m.5g -cDP,½****,1,0,829 828 597,25.1,252.81,280,42.5,163,4m 55s,961,1035/520,479,365/1158,161,174/87,829 699 061,564,347
qpress,0.35b,L3,½*,7,2,1 493 712 982,45.3,26.06,395,6.47,253,33s,5,6/2,475,387/832,0,0/0,1 493 652 324,4,3
nanozip,0.08a,-m.5g -cDp,***,2,2,843 445 438,25.6,242.03,254,42.61,164,4m 45s,857,929/446,475,364/1104,124,134/64,843 315 902,561,347
nanozip,0.08a,-m.5g -cf,**,1,7,1 275 986 344,38.7,30.34,154,37.83,155,1m  8s,29,61/4,469,686/294,0,0/0,1 275 856 808,544,556
etincelle,rc1,-m512,½*,4,3,1 201 675 127,36.4,60.42,81,26.93,99,1m 27s,52,69/13,469,442/529,0,0/0,1 201 634 513,518,518
freearc,0.6,-mex4,½****,0,1,760 966 450,23.1,285.77,344,94.05,215,6m 20s,1606,1969/506,468,406/658,580,711/183,760 892 722,357,315
