Program,Ver,Arguments,St.,C,D,Size ,%,C.Time ,%,D.Time ,%,Time,Rating,c/d ,R.S.E.,c/d ,R.R.E.,c/d ,Output ,C.M,D.M
winrar,4.00b3,-m3,,11,7,924 115 297,28,433.75,200,57.84,98,8m 12s,202,212/134,210,155/621,12,12/8,924 021 601,36,8
tornado,0.4a,-8,,12,6,982 568 668,29.8,362.55,100,42.16,99,6m 45s,128,132/96,210,153/702,4,4/3,982 523 772,203,131
bsc,2.2.5,-b25 -m3 -psrl,,9,15,945 626 052,28.7,305.51,369,153.77,352,7m 39s,171,237/40,209,205/218,8,11/2,945 535 367,498,504
4x4,0.2a,4t,,9,19,1 008 230 621,30.6,210.31,384,162.87,377,6m 13s,105,171/19,209,242/167,2,4/0,1 007 989 332,268,208
freearc,0.6,,½****,0,1,732 988 250,22.2,741.25,170,202.19,108,15m 43s,883,1036/321,207,172/336,435,511/158,732 914 522,396,233
bsc,2.0.0,-p -m3,,10,18,990 201 081,30,238.04,386,162.98,389,6m 41s,119,185/23,207,227/177,3,5/1,989 980 418,505,504
flashzip,0.99c3,-m0 -c4 -b5,,6,11,867 057 278,26.3,452.28,100,153.62,100,10m  6s,310,383/95,206,180/283,34,42/11,866 809 972,295,285
csc,3.1,-m0,,8,9,919 657 462,27.9,420.58,100,87.08,99,8m 28s,206,229/94,206,162/419,13,14/6,919 602 758,37,20
bsc,1.0.3,-p -m3 -b26,,7,18,986 685 813,29.9,242.04,383,164.64,383,6m 47s,122,189/23,206,226/177,4,6/1,986 476 302,525,524
fastlz,0,-2,,8,9,1 697 554 204,51.4,23.17,99,14.92,99,38s,0,1/0,206,220/183,0,0/0,1 697 547 868,2,2
winrar,3.93,-m3,,11,7,924 091 233,28,433.77,199,68.84,99,8m 23s,198,212/113,205,155/522,12,12/7,924 021 601,36,8
stz,0.8.3,-c5,,8,5,1 492 203 875,45.2,61.37,100,14.34,99,1m 16s,2,3/1,205,165/377,0,0/0,1 492 166 458,6,5
7-zip,9.12b,-m0=lzma2 -mx -md15m,*,4,4,807 289 820,24.5,637.72,289,104.56,99,12m 22s,491,527/272,205,156/507,106,114/59,807 139 200,511,26
gzip,1.3.3,-5,,10,6,1 240 841 343,37.6,141.3,100,34.76,100,2m 56s,17,19/7,204,166/360,0,0/0,1 240 804 310,2,2
stz,0.8.3,-c1,,8,10,1 705 003 269,51.7,22.04,99,15.62,99,38s,0,1/0,203,226/170,0,0/0,1 704 965 852,6,5
flashzip,0.99c2,-m0 -c4 -b5,,6,12,866 941 397,26.3,458.56,100,157.44,100,10m 16s,305,378/93,203,178/276,34,42/10,866 809 972,295,284
thor,0.96a,e5,,10,6,1 198 348 779,36.3,163.66,100,41.91,100,3m 26s,23,27/9,201,165/344,0,0/0,1 198 309 132,3,2
bsc,2.4.5,-b110t -m1f -p,½*,2,22,1 016 282 978,30.8,100.3,292,277.58,151,6m 18s,95,328/10,201,494/95,2,7/0,1 016 192 293,555,554
flashzip,0.99d1,-m0 -b5,,7,16,964 205 903,29.2,291.78,100,167.83,100,7m 40s,139,201/30,197,202/187,5,8/1,964 035 229,286,277
csc,3.2a2,-m3 -d9,,5,5,848 165 913,25.7,583.8,100,93.53,99,11m 17s,342,366/193,196,149/495,47,50/26,848 075 990,519,325
thor,0.96a,e1,,5,10,1 583 800 385,48,22.48,98,38.95,99,1m  1s,1,3/0,186,332/102,0,0/0,1 583 760 738,2,2
flashzip,0.99c2,-m1 -c4 -b5,,6,11,858 076 965,26,535.94,100,156.28,100,11m 32s,300,357/103,186,157/287,37,44/13,857 945 540,295,284
winrar,4.00b3,-m2,,13,9,1 020 065 112,30.9,360.42,216,53.08,98,6m 53s,83,88/50,181,136/492,2,2/1,1 019 971 416,36,8
bsc,2.4.5,-b110t -m3 -pl,,8,17,945 437 864,28.6,360.63,202,172.09,298,8m 53s,147,201/36,181,174/195,7,9/2,945 347 179,512,512
nanozip,0.09a,-m.5g -cO -p2,*****,0,0,676 508 285,20.5,1045.05,274,270.89,187,21m 56s,1185,1376/449,179,147/303,1095,1271/414,676 385 405,553,380
bsc,2.4.5,-b110t -m3f -p,,10,13,966 946 904,29.3,355.31,184,146.03,281,8m 21s,123,160/33,179,164/213,5,6/1,966 856 219,554,555
bsc,2.3.0,-b110t -m1f -p,**,1,23,1 016 282 978,30.8,100.11,290,323.91,144,7m  4s,84,329/9,179,495/82,2,7/0,1 016 192 293,555,554
bsc,2.3.0,-b110t -m3 -pl,,9,19,945 437 864,28.6,360.88,202,179.72,340,9m  1s,145,201/34,178,174/186,7,9/2,945 347 179,512,512
bsc,2.4.5,-b110t -m3 -psrl,,8,16,921 301 595,27.9,414.94,212,173.81,306,9m 49s,174,228/46,177,164/209,11,14/3,921 210 910,512,512
winrar,3.93,-m2,,12,9,1 020 041 048,30.9,359.69,216,65.58,99,7m  5s,81,88/41,176,136/398,2,2/1,1 019 971 416,36,8
csc,3.2a,-m3 -d9,*,7,3,875 461 635,26.5,607.92,100,81.65,99,11m 30s,248,259/163,176,130/518,25,26/17,875 372 846,519,325
yzx,0.04,-m1 -c1 -b6,,8,13,888 591 381,26.9,510.17,100,154.54,100,11m  5s,222,267/74,175,149/262,19,23/7,888 474 467,526,264
imp,1.12,-m1,,9,13,1 195 494 172,36.2,184.79,100,53.47,99,3m 58s,20,24/7,175,147/272,0,0/0,1 195 412 491,8,3
bsc,2.3.0,-b110t -m3 -psrl,,9,17,921 301 595,27.9,415.02,211,181.92,343,9m 57s,172,228/44,175,164/199,10,14/3,921 210 910,512,512
bsc,2.2.5,-b110t -m3 -pl,,10,18,945 437 864,28.6,370.11,206,179.69,340,9m 10s,143,196/34,175,169/186,7,9/2,945 347 179,512,512
bsc,2.2.5,-b110t -m1f -p,*,3,24,1 016 282 978,30.8,110.41,295,324.11,144,7m 15s,82,298/9,175,448/82,2,6/0,1 016 192 293,555,554
csc,3.2f,-m2 -d4,,12,11,925 219 556,28,475.58,100,119.06,99,9m 55s,165,191/64,173,141/301,10,11/4,925 146 694,28,10
bsc,2.2.0,-b110t -m3,,9,17,945 436 747,28.6,374.19,205,181.45,342,9m 16s,141,194/34,173,168/184,7,9/2,945 347 179,512,512
bsc,2.2.0,-b110t -p -m1f,½*,2,23,1 016 281 861,30.8,110.14,295,328.86,143,7m 19s,81,299/8,173,450/80,2,6/0,1 016 192 293,555,554
yzx,0.04,-m2 -c1 -b6,,7,12,877 652 156,26.6,547.02,100,153.04,100,11m 40s,238,281/85,172,144/274,24,28/8,877 535 242,526,264
lzrw,0,3,,9,11,1 732 344 315,52.5,22.25,98,18.2,98,40s,0,1/0,172,204/133,0,0/0,1 732 339 712,4,4
bsc,2.3.0,-b110t -m3f -p,,11,17,966 946 904,29.3,355.61,184,164.61,333,8m 40s,119,160/29,172,164/189,4,6/1,966 856 219,554,554
bsc,2.2.5,-b110t -m3 -psrl,,10,18,921 814 486,27.9,426.06,214,183.77,346,10m 10s,167,221/43,171,159/197,10,13/3,921 723 801,512,512
fastlz,0,-1,,10,8,1 749 086 876,53,24.47,99,14.4,98,39s,0,0/0,170,176/159,0,0/0,1 749 080 540,2,2
bsc,2.4.5,-b110t -m2f -p,½,4,22,998 987 902,30.3,166.09,249,305.84,146,7m 52s,92,240/11,170,316/92,2,6/0,998 897 217,562,554
bsc,2.2.5,-b110t -m3f -p,,12,16,966 946 904,29.3,365.03,188,163.88,336,8m 49s,117,156/29,169,160/190,4,6/1,966 856 219,554,554
7-zip,9.12b,-mx1,,12,13,1 052 535 519,31.9,276.74,99,120.64,99,6m 37s,60,80/15,169,159/194,1,1/0,1 052 384 899,17,5
lz4,1,-c1t1,½**,8,0,1 481 903 068,44.9,90.16,104,5.75,155,1m 36s,2,2/3,168,116/973,0,0/0,1 481 860 407,19,18
bsc,2.2.0,-b110t -p -m3f,,10,16,966 945 787,29.3,369.11,187,164.22,336,8m 53s,116,154/29,168,158/190,4,6/1,966 856 219,554,554
7-zip,9.12b,-mx3,,15,12,973 669 226,29.5,411.09,100,111.23,99,8m 42s,110,129/40,168,139/274,4,4/1,973 518 606,17,6
csc,3.1,-m1,,10,7,905 264 553,27.4,576.21,100,84.87,99,11m  1s,186,196/113,166,124/451,13,14/8,905 209 849,101,20
bsc,2.1.5,-b110t -p -m1f,½,4,25,1 016 413 233,30.8,128.73,240,329.45,143,7m 38s,78,256/8,166,384/80,2,5/0,1 016 192 260,554,554
bzp,0.3,,,8,20,1 199 621 544,36.4,115.76,100,134.62,100,4m 10s,19,37/3,165,232/107,0,0/0,1 199 589 146,4,4
winrar,4.00b3,-m5 -mct-,½,12,4,919 307 776,27.9,583.3,236,57.86,97,10m 41s,164,166/141,164,117/631,10,10/9,919 214 080,36,8
bsc,2.4.5,-b110t -m3 -p,,11,18,957 576 432,29,384.48,199,177.94,303,9m 22s,122,165/30,164,157/181,5,7/1,957 485 747,554,555
tornado,0.4a,-9,,15,5,965 300 784,29.3,511.41,100,41.84,99,9m 13s,114,114/117,163,115/749,4,4/4,965 255 888,396,259
flashzip,0.99c2,-m2 -c4 -b5,,6,10,856 782 716,26,642.58,100,155.73,100,13m 18s,263,302/105,162,131/289,33,38/13,856 651 291,295,284
yzx,0.03,-m1 -c1 -b6,,8,14,888 182 867,26.9,568.03,100,154.61,100,12m  3s,205,241/75,161,134/262,18,21/7,888 066 310,398,264
winrar,3.93,-m5 -mct-,½,11,4,919 283 712,27.9,582.14,235,68.7,99,10m 51s,161,166/119,161,118/532,10,10/7,919 214 080,36,8
flashzip,0.99c3,-m1 -c4 -b5,,7,10,857 872 887,26,658.42,378,152.25,100,13m 31s,256,291/106,159,128/294,32,36/13,857 625 581,296,285
bsc,2.3.0,-b110t -m3 -p,,12,20,957 576 432,29,384.89,200,197.24,344,9m 42s,118,164/27,159,156/163,5,7/1,957 485 747,554,554
bsc,2.0.0,-b110t -p -m1f,½,4,25,1 016 405 585,30.8,141.69,215,340.55,139,8m  2s,74,232/8,157,349/78,2,5/0,1 016 184 922,554,554
winrar,4.00b3,-m4,,9,15,904 895 087,27.4,514.17,178,190.75,99,11m 45s,175,221/50,156,140/201,13,16/4,904 801 391,70,42
freearc,0.6,-m6 -lc350,½****,1,0,712 230 317,21.6,1120.98,166,217.78,107,22m 19s,783,863/375,156,122/335,486,536/233,712 156 589,526,412
bsc,2.2.5,-b110t -m3 -p,,13,20,957 576 432,29,394.11,203,197.23,344,9m 51s,116,161/27,156,153/163,5,7/1,957 485 747,554,554
winrar,3.93,-m4,,9,15,904 871 023,27.4,514.67,177,193.92,99,11m 49s,174,221/50,155,139/198,13,16/4,904 801 391,70,41
flashzip,0.99d1,-m4 -b5,,10,15,908 452 921,27.5,543.88,100,159.28,100,11m 43s,168,201/58,155,130/238,12,14/4,908 282 247,288,278
bsc,2.3.0,-b110t -m2f -p,*,3,22,998 987 902,30.3,166.05,249,352.51,140,8m 39s,84,240/10,155,316/79,2,6/0,998 897 217,562,554
lzrw,0,2,,8,11,1 778 632 917,53.9,21.93,98,16.97,98,39s,0,0/0,154,178/123,0,0/0,1 778 628 518,4,4
freearc,0.666,-m9d -lc500m,****,2,0,719 121 524,21.8,1210.2,170,119.14,106,22m  9s,731,740/635,154,110/598,420,426/365,719 045 748,469,468
flashzip,0.99c3,-m2 -c4 -b5,,6,9,856 677 244,26,688.33,379,151.94,100,14m  0s,251,282/108,154,122/296,31,35/13,856 429 938,296,285
bsc,2.2.0,-b110t -p -m3,,11,20,957 575 315,29,399.75,202,198.7,347,9m 58s,115,158/27,154,151/162,5,6/1,957 485 747,554,554
7-zip,9.12b,,*,4,4,805 116 998,24.4,891.84,172,103.83,99,16m 36s,375,386/280,154,112/515,83,85/62,804 966 378,199,21
yzx,0.03,-m2 -c1 -b6,,8,11,878 615 173,26.6,634.25,100,153.76,100,13m  8s,209,240/84,153,124/272,20,23/8,878 498 616,398,264
bsc,2.2.5,-b110t -m2f -p,,5,23,998 987 902,30.3,176.44,253,352.62,140,8m 49s,82,226/10,152,297/79,2,6/0,998 897 217,562,554
freearc,0.666,-mx -lc500m,½****,1,0,706 908 234,21.4,1178.65,164,224.89,108,23m 24s,793,870/386,152,118/330,522,573/254,706 832 458,469,469
bsc,2.2.0,-b110t -p -m2f,*,3,23,998 986 785,30.3,175.42,253,356.59,139,8m 52s,81,228/9,151,299/79,2,6/0,998 897 217,562,554
flashzip,0.99c3,-m3 -c4 -b5,,6,8,856 394 406,26,726.69,380,151.89,100,14m 39s,240,268/108,147,116/297,30,34/14,856 147 100,296,285
7-zip,9.12b,-mx1 -md48m,,9,9,893 029 360,27.1,681.97,100,104.86,98,13m  7s,179,190/104,146,109/380,15,16/9,892 878 740,338,53
gzip,1.3.3,-7,,11,6,1 228 728 406,37.2,223.17,100,34.39,100,4m 18s,13,14/8,145,109/379,0,0/0,1 228 691 373,2,2
yzx,0.04,-m1 -c3 -b6,,8,11,874 179 303,26.5,697.95,100,150.31,100,14m  8s,204,229/90,144,114/282,21,24/9,874 062 389,526,264
bsc,2.1.5,-b110t -m3,,8,20,939 121 118,28.5,373.49,205,312.64,175,11m 26s,123,208/21,143,171/109,6,10/1,938 900 145,512,512
7-zip,9.12b,-mx -md4m,,5,5,845 209 016,25.6,838.47,179,108.41,99,15m 47s,253,263/172,142,104/431,36,37/24,845 058 396,95,14
winrar,4.00b3,-m5,,10,15,900 854 847,27.3,579.08,183,220.09,99,13m 19s,161,205/46,140,126/176,12,16/3,900 761 151,78,50
winrar,3.93,-m5,,9,15,900 830 783,27.3,578.72,182,224.25,99,13m 23s,161,205/45,139,126/173,12,16/3,900 761 151,78,50
bsc,2.1.5,-b110t -p -m2f,,8,24,999 118 157,30.3,222.14,180,357.28,139,9m 39s,75,179/9,139,236/78,2,5/0,998 897 184,558,554
yzx,0.02,-m1 -c1 -b4,,11,15,917 868 702,27.8,605.31,100,159.89,100,12m 45s,139,163/52,138,114/230,9,10/3,917 751 520,397,71
freearc,0.6,-m9x -lc350,***,3,1,741 384 587,22.5,1259.5,173,116.33,100,22m 56s,551,555/508,138,98/568,248,249/228,741 310 859,492,155
flashzip,0.99c2,-m3 -c4 -b5,,6,8,856 278 525,25.9,784.39,100,155.67,100,15m 40s,225,249/106,138,108/289,28,31/13,856 147 100,295,284
winrar,4.20b3,-m5 -mc14:128t,,8,16,902 235 561,27.3,492.16,162,313.37,99,13m 26s,158,238/32,138,147/123,12,18/2,902 055 171,318,223
yzx,0.04,-m2 -c3 -b6,,8,9,862 704 617,26.1,773.47,100,148.79,100,15m 22s,214,235/103,137,107/296,25,27/12,862 587 703,526,264
nanozip,0.08a,-m.5g -co,***,3,1,719 883 460,21.8,1261.66,146,239.19,112,25m  1s,642,704/314,136,105/297,366,401/179,719 753 924,571,346
bsc,2.0.0,-b110t -m3,,8,20,939 114 062,28.5,392.36,194,329.83,166,12m  2s,117,198/20,136,163/104,6,10/1,938 893 399,512,512
lzrw,0,3-a,,11,7,1 626 774 769,49.3,54.11,99,19.58,98,1m 14s,1,1/0,135,120/176,0,0/0,1 626 770 032,4,4
flashzip,0.99b8,-m1 -c7 -b7,,8,10,873 640 382,26.5,761.7,100,149.42,100,15m 11s,191,211/91,134,105/285,20,22/9,873 520 781,389,356
7-zip,9.12b,-mx -md48m,½**,2,3,779 659 779,23.6,1148.17,168,103.81,99,20m 52s,396,398/372,134,95/560,116,117/109,779 509 159,571,58
bsc,2.0.0,-b110t -p -m2f,,11,24,999 108 445,30.3,235.2,168,368.87,135,10m  4s,72,170/9,133,223/76,2,4/0,998 887 782,558,554
yzx,0.02,-m2 -c1 -b4,,11,15,909 447 630,27.6,671.74,100,158.87,100,13m 51s,141,161/57,131,105/238,10,11/4,909 330 448,397,71
imp,1.12,,,16,11,1 093 178 931,33.1,407.31,100,49.36,99,7m 37s,33,34/24,129,94/414,0,0/0,1 093 097 250,8,3
brieflz,1.04,,,9,7,1 566 679 320,47.5,62.26,98,32.76,98,1m 35s,1,1/0,128,127/129,0,0/0,1 566 674 652,3,2
winrar,4.00b3,-m5 -mc14:128t,,10,15,896 631 441,27.2,628.3,176,271.4,99,15m  0s,150,198/39,126,117/145,12,16/3,896 537 745,251,222
tornado,0.4a,-1,,10,11,1 834 085 721,55.6,22.91,98,16.64,98,40s,0,0/0,126,141/104,0,0/0,1 834 040 825,11,10
csc,3.1,-m2 -d6,½,9,4,871 688 995,26.4,898.42,100,80.81,99,16m 19s,182,183/172,126,89/530,19,19/18,871 634 291,391,68
yzx,0.11,-m6 -b5 -h4,,8,11,861 731 092,26.1,856.88,100,158.51,100,16m 55s,196,214/98,125,97/279,23,25/12,861 599 810,401,139
winrar,3.93,-m5 -mc14:128t,,9,15,896 607 377,27.2,628.08,176,276.16,99,15m  4s,149,198/38,125,117/143,12,16/3,896 537 745,250,222
uharc,0.6b,-mdp -mz,,10,23,986 419 982,29.9,310.09,100,373.25,100,11m 23s,73,148/10,123,176/78,2,4/0,986 310 240,38,38
packet,0.91a,,,16,17,1 097 686 840,33.3,390.53,100,85.37,100,7m 56s,30,34/13,122,97/236,0,0/0,1 097 648 665,11,3
csc,3.1,-m2 -d4,,10,6,894 536 096,27.1,857.78,100,83.4,99,15m 41s,147,149/129,121,87/476,12,12/11,894 481 392,101,20
bsc,2.1.5,-b110t -p -m3,,14,22,957 705 055,29,399.44,203,370.75,164,12m 50s,89,158/14,120,151/87,4,6/1,957 484 082,554,554
yzx,0.11,-m7 -b5 -h4,,6,7,845 259 618,25.6,972.5,100,156.78,100,18m 49s,212,227/119,119,90/298,30,32/17,845 128 336,401,139
lzrw,0,1-a,,11,9,1 846 767 644,56,25.67,99,14.92,98,41s,0,0/0,117,121/111,0,0/0,1 846 763 328,4,4
nanozip,0.07a,-m.5g -co,**,4,2,732 406 214,22.2,1412.48,100,303.87,100,28m 36s,488,547/215,114,90/224,242,271/107,732 288 919,566,388
info-zip,2.3,-4,,11,23,1 288 419 651,39,149.8,99,118.64,99,4m 28s,6,11/1,114,133/90,0,0/0,1 288 396 099,5,2
bsc,2.0.0,-b110t -p -m3,,14,22,957 673 430,29,425.05,190,394.14,155,13m 39s,84,149/14,113,142/82,3,6/1,957 452 767,554,554
info-zip,2.3,-5,,11,22,1 268 018 826,38.4,176.25,99,117.86,99,4m 54s,7,11/1,112,121/97,0,0/0,1 267 995 274,5,2
nanozip,0.09a,-m.5g -cO,½****,1,0,657 919 225,19.9,1813.44,154,436.77,110,37m 30s,852,975/342,111,90/200,968,1107/388,657 796 345,540,352
nanozip,0.08a,-m.5g -cO,½***,2,1,658 402 946,20,1867.95,152,460.12,106,38m 48s,819,942/323,108,87/189,925,1063/365,658 273 410,586,361
grzipii,0.24,-b8m -m4,,12,26,1 052 686 333,31.9,265.12,100,355.56,100,10m 21s,38,83/5,108,165/66,1,1/0,1 052 628 759,58,51
squeez,5.62,-m1,,18,19,1 087 358 161,32.9,454.98,99,105.7,98,9m 21s,29,33/12,107,86/197,0,0/0,1 087 161 670,30,11
quad,1.12,,,17,20,1 059 519 936,32.1,453.16,100,158.64,100,10m 12s,36,45/11,107,95/144,0,1/0,1 059 493 796,34,35
info-zip,2.3,-3,,10,24,1 317 275 858,39.9,140.89,99,118.69,99,4m 20s,5,8/1,107,129/82,0,0/0,1 317 252 306,5,2
info-zip,2.3,-2,,10,25,1 338 375 161,40.6,127.3,99,119.25,99,4m  7s,4,7/1,105,133/76,0,0/0,1 338 351 609,5,2
lzrw,0,1,,12,12,1 863 023 859,56.5,27.33,99,16.64,98,44s,0,0/0,103,108/94,0,0/0,1 863 019 752,4,4
yzx,0.11,-m8 -b5 -h4,,8,12,859 631 823,26,1110.55,100,158.47,100,21m  9s,161,169/100,101,75/281,19,20/12,859 500 541,401,139
sbc,0.970r3,,,13,21,940 673 600,28.5,615.16,100,365.5,100,16m 21s,84,124/18,100,104/93,4,6/1,940 560 362,25,25
info-zip,2.3,,,12,21,1 258 815 751,38.1,220.53,99,117.75,99,5m 38s,7,10/2,100,100/100,0,0/0,1 258 792 199,5,2
bssc,0.95a,-t -b16383,,14,24,1 057 442 534,32,340.09,100,322.11,100,11m  2s,34,61/5,100,127/72,0,1/0,1 057 396 638,98,42
info-zip,2.3,-1,,10,26,1 362 445 993,41.3,122.31,99,119.81,99,4m  2s,3,6/0,99,128/70,0,0/0,1 362 422 441,5,2
grzipii,0.24,-d -a -b8m -m4,,15,24,1 058 174 261,32.1,363.03,100,316,100,11m 19s,33,57/6,97,119/73,0,1/0,1 058 116 687,58,51
balz,1.15,e,,17,21,977 946 020,29.6,705.83,100,185.56,100,14m 51s,61,71/23,97,80/162,2,2/1,977 913 091,66,66
szip,1.12,-o4,,9,26,1 131 911 694,34.3,191.84,100,348.91,100,9m  1s,18,48/2,96,176/52,0,0/0,1 131 884 531,8,10
squeez,5.62,-m3,,19,19,1 077 143 297,32.6,537.61,99,105.3,98,10m 43s,28,31/13,96,75/205,0,0/0,1 076 946 806,30,11
rings,1.5c,5,,13,26,1 071 870 196,32.5,306.56,100,352.17,100,10m 59s,29,58/4,96,134/62,0,1/0,1 071 830 937,34,50
blizzard,0.24b,f,,16,23,983 983 232,29.8,451.12,100,428.72,100,14m 40s,58,105/9,96,122/69,2,3/0,983 969 832,27,26
sbc,0.970r3,-m2 -b19,,13,20,934 502 337,28.3,674.2,100,379.19,100,17m 33s,84,121/18,95,96/92,4,6/1,934 389 099,67,66
rings,1.5c,8,,12,26,1 046 555 948,31.7,307.75,100,415.34,100,12m  3s,35,76/5,95,145/58,1,1/0,1 046 516 689,259,387
grzipii,0.24,-a -b8m -m4,,15,25,1 069 569 228,32.4,348.34,100,320.95,100,11m  9s,30,52/5,95,119/69,0,1/0,1 069 511 654,58,51
winace,2.6,-d4096 -m1,,11,16,909 079 588,27.5,905.14,95,249.89,84,19m 15s,102,120/37,94,78/151,7,8/3,909 035 575,39,11
nanozip,0.09a,-m.5g -cc -p4,*****,0,0,657 437 806,19.9,1353.09,380,1327.78,377,44m 41s,719,1314/113,94,121/66,821,1500/129,657 314 926,539,525
yzx,0.11,-m9 -b5 -h4,,5,6,843 113 485,25.5,1275.97,100,156.58,100,23m 53s,171,177/122,94,69/301,25,26/18,842 982 203,401,139
rings,1.6,5,,14,27,1 071 098 910,32.5,326.08,100,357.03,100,11m 23s,28,55/4,93,126/62,0,1/0,1 071 058 982,35,50
rings,1.6,8,,13,26,1 046 662 813,31.7,325.86,100,410.69,100,12m 17s,35,72/5,93,137/58,1,1/0,1 046 622 885,259,387
info-zip,2.3,-7,,12,22,1 256 330 705,38.1,254.14,100,117.56,99,6m 12s,7,9/2,92,87/101,0,0/0,1 256 307 153,5,2
szip,1.12,-b41o4,,9,29,1 124 551 461,34.1,197.22,100,385.7,100,9m 43s,18,50/2,91,175/48,0,0/0,1 124 524 298,17,22
jar,1.02,-m2,,18,22,1 078 477 291,32.7,511.89,98,169.48,97,11m 21s,26,32/8,91,79/127,0,0/0,1 078 320 519,9,5
winace,2.6,-d4096 -m2,,11,16,906 749 204,27.5,967.53,96,250.66,84,20m 18s,99,115/38,90,74/152,7,8/3,906 705 191,39,11
flashzip,0.99b8,-m2 -c7 -b7,,8,8,857 971 044,26,1305.26,100,146.59,100,24m 12s,143,147/110,89,64/306,18,18/14,857 851 443,389,356
sbc,0.970r3,-m1 -b9 -of,,18,23,1 009 015 868,30.6,530.22,100,351.69,100,14m 42s,44,67/9,88,96/77,1,2/0,1 008 902 630,35,35
bsc,1.0.3,-t -m3 -b110,,12,17,918 988 973,27.8,674.66,119,516.56,100,19m 51s,88,144/16,88,102/71,6,9/1,918 779 462,512,511
sbc,0.970r3,-m3 -b9 -of,,9,13,867 122 163,26.3,968.28,100,475.26,100,24m  4s,130,179/31,87,84/91,14,20/3,867 008 925,68,67
csc,3.1,-m3 -d6,*,10,3,867 317 055,26.3,1350.31,100,80.14,99,23m 50s,131,128/182,87,60/542,14,14/20,867 262 351,391,68
imp,1.12,-2,,21,15,1 080 273 825,32.7,640.5,100,82.26,99,12m  3s,24,25/17,85,62/260,0,0/0,1 080 192 144,8,8
winace,2.6,,,13,19,930 558 933,28.2,951.75,95,251.66,83,20m  3s,77,90/29,84,69/140,4,5/2,930 514 920,24,6
jar,1.02,-m1,,19,23,1 133 261 684,34.3,444.19,98,171.38,97,10m 16s,16,20/4,84,75/104,0,0/0,1 133 104 912,4,4
imp,1.12,-m3 -mm,,23,10,1 037 002 836,31.4,803.02,100,53.12,99,14m 16s,33,33/42,83,58/464,1,1/1,1 036 921 155,8,3
bzip2,1.0.5,,,19,21,1 125 342 869,34.1,468.09,100,167.03,100,10m 35s,17,21/5,83,74/110,0,0/0,1 125 301 300,9,5
winace,2.6,-m1 -d64,,19,23,1 028 519 882,31.2,602.55,93,286.62,78,14m 49s,35,48/8,82,79/89,1,1/0,1 028 475 869,9,5
yzx,0.03,-m1 -c5 -b6,,10,13,887 436 021,26.9,1281.55,100,153.97,100,23m 56s,104,108/76,81,59/264,9,10/7,887 319 464,398,264
bssc,0.95a,,,20,23,1 023 066 355,31,645.63,100,283.55,100,15m 29s,36,47/9,80,75/91,1,1/0,1 023 020 459,19,12
flashzip,0.99d1,-m9 -b5,,5,5,820 705 242,24.9,1673.48,100,156.09,100,30m 30s,172,173/157,80,57/325,32,32/29,820 534 568,365,341
xwrt,3.2,-l2 +d -f65535 -m32,,20,10,1 219 417 009,37,444.45,100,45.98,98,8m 10s,8,8/6,79,57/292,0,0/0,1 218 900 741,103,99
imp,1.12,-m3,,22,11,1 077 446 961,32.6,731.19,100,51.87,99,13m  3s,23,23/27,79,55/416,0,0/0,1 077 365 280,8,3
bsc,1.0.3,-pt -m1 -b110,,16,26,1 004 653 843,30.4,416.64,100,600.8,100,16m 57s,40,90/5,78,124/46,1,2/0,1 004 444 332,554,554
gca,0.9k,,,20,22,1 036 301 637,31.4,641.84,100,272.06,100,15m 14s,31,41/8,78,72/91,1,1/0,1 036 242 442,25,10
xwrt,3.2,-l2 -b32 -m32,,20,10,1 216 395 120,36.9,462.33,100,45.78,99,8m 28s,8,8/7,77,55/296,0,0/0,1 216 268 806,96,100
sbc,0.970r3,-m3 -b63,,8,11,858 047 074,26,1186.89,100,487.84,100,27m 55s,124,161/33,77,71/92,15,20/4,857 933 836,228,216
yzx,0.02,-m1 -c4 -b4,,12,13,900 100 865,27.3,1310.72,100,153.05,100,24m 24s,89,91/66,76,56/254,7,7/5,899 983 683,397,71
bwc,0.99d,,,18,24,1 110 328 059,33.6,440.64,100,293.09,100,12m 14s,17,26/3,76,82/66,0,0/0,1 110 316 439,9,5
sr,2,,,11,24,1 248 099 576,37.8,209.66,100,257.22,100,7m 47s,6,12/1,75,109/47,0,0/0,1 248 095 573,7,7
bsc,1.0.3,-pt -m3 -b110,,15,23,958 765 606,29.1,641.06,123,586.45,100,20m 28s,55,97/9,75,94/55,2,4/0,958 556 095,554,554
arj,3.15,,,17,21,1 240 458 330,37.6,360.92,96,118.97,89,8m  0s,6,8/2,75,65/105,0,0/0,1 240 300 838,3,2
ccm,1.30c,5,½*,4,3,735 303 098,22.3,1332.17,100,1270.86,100,43m 23s,312,562/50,74,95/53,150,270/24,735 290 152,533,533
winace,2.6,-d4096 -m4,,11,15,898 403 943,27.2,1296.7,97,249.62,84,25m 46s,86,94/41,73,57/157,7,7/3,898 359 930,39,11
bsc,1.0.3,-pt -m2 -b110,,17,25,990 240 805,30,503.86,100,624.14,100,18m 48s,42,87/6,73,107/46,1,2/0,990 031 294,558,554
yzx,0.03,-m2 -c5 -b6,,11,12,877 080 766,26.6,1532.03,100,153.03,100,28m  5s,100,101/85,72,51/275,10,10/8,876 964 209,398,264
blizzard,0.24b,c,,16,24,974 694 515,29.5,610.72,100,599.66,100,20m 10s,47,86/7,72,93/51,2,3/0,974 681 115,27,26
